,ticker,Time,Close,5D,10D,20D,50D,100D,200D
0,AAP,22:56:53,51.92,52.57,51.78,52.78,50.12,49.07,52.5
1,ALLE,22:56:53,145.91,145.69,148.26,153.91,161.84,162.37,161.64
2,APLD,22:56:53,27.51,27.65,27.46,28.34,32.52,30.27,23.39
3,AVGO,22:56:53,321.31,329.19,331.5,328.86,332.11,346.66,323.51
4,B,22:56:54,42.8,43.63,44.77,46.81,47.45,42.92,34.06
5,NET,22:56:54,211.52,211.28,203.88,190.13,186.17,197.86,199.43
6,BAC,22:56:54,47.28,47.34,48.14,49.64,52.05,52.61,50.1
7,LYFT,22:56:54,14.04,13.38,13.42,13.54,15.86,18.33,17.68
8,OSCR,22:56:54,13.51,13.28,13.7,13.51,14.46,15.35,16.26
9,SOFI,22:56:54,17.37,17.8,18.29,18.54,21.89,24.98,23.69
10,DIA,22:56:55,470.9,469.98,474.83,483.42,489.05,481.6,462.87
11,SPY,22:56:55,670.79,668.9,673.88,680.19,685.88,681.49,657.27
12,CVX,22:56:55,197.97,196.08,192.2,188.92,177.28,163.67,155.89
13,RKT,22:56:55,14.84,14.69,15.18,16.39,18.99,18.58,17.57
14,OPEN,22:56:55,5.56,5.16,5.1,5.05,5.46,6.28,5.13
15,OKLO,22:56:55,60.53,60.19,61.0,63.17,75.58,87.88,85.98
16,W,22:56:56,79.89,76.72,76.76,77.39,93.3,96.96,83.05
17,JNJ,22:56:56,238.11,241.57,241.95,243.66,231.46,215.01,191.4
18,T,22:56:56,27.85,27.57,27.97,28.02,26.36,25.54,26.43
19,PAAS,22:56:56,55.81,57.85,59.27,61.74,59.11,50.9,41.61
20,QQQ,22:56:57,603.31,600.47,603.73,605.38,612.86,614.3,591.0
21,RDDT,22:56:57,144.33,137.21,139.01,142.89,175.88,194.6,191.11
22,GS,22:56:57,807.04,799.06,818.53,857.43,902.06,862.94,788.4
23,GOOG,22:56:57,309.41,305.38,304.19,306.31,318.71,308.49,258.13
24,GOOGL,22:56:57,310.92,306.2,304.63,306.49,318.53,308.04,257.5
25,GE,22:56:57,302.09,307.53,317.46,328.38,318.95,310.05,290.32
26,MS,22:56:58,157.83,156.73,159.53,165.4,174.83,171.85,157.88
27,QCOM,22:56:58,131.59,131.21,134.07,137.86,147.96,159.84,158.0
28,PZZA,22:56:58,35.54,36.6,34.08,33.26,34.65,38.41,42.05
29,C,22:56:58,107.71,107.09,107.78,110.44,114.16,109.78,100.22
30,CHAT,22:56:58,65.29,64.35,63.65,64.0,62.62,61.31,56.66
31,GROY,22:56:58,3.85,4.0,4.15,4.33,4.47,4.16,3.57
32,GM,22:56:58,74.04,73.52,74.69,77.48,80.31,77.2,65.76
33,JPM,22:56:59,286.89,285.38,288.8,295.91,305.86,307.96,299.17
34,WULF,22:56:59,16.04,15.4,14.96,15.57,14.76,14.11,10.91
35,ORLY,22:56:59,89.39,91.75,93.13,93.35,94.66,95.4,97.01
36,CVS,22:56:59,74.81,75.71,77.03,77.48,77.9,78.02,73.1
37,GLD,22:56:59,459.27,464.73,468.55,471.03,455.02,419.73,372.34
38,AZO,22:56:59,3439.64,3563.61,3631.71,3688.82,3641.54,3659.22,3803.93
39,PANW,22:56:59,169.19,167.34,165.42,157.07,169.49,184.1,189.94
40,BBW,22:57:00,39.96,40.89,42.75,46.38,55.16,54.08,55.43
41,RBLX,22:57:00,57.79,58.01,60.86,63.51,69.2,83.8,101.73
42,HD,22:57:00,341.43,342.1,349.79,362.39,369.84,362.75,371.06
43,AEO,22:57:00,17.53,17.65,18.57,21.33,23.52,22.28,17.64
44,LOW,22:57:00,239.71,241.15,247.23,258.64,266.48,252.64,244.96
45,M,22:57:00,16.92,17.06,17.69,19.07,20.41,20.69,17.23
46,MDB,22:57:01,272.27,266.19,265.57,294.74,349.49,363.4,309.76
47,PBA,22:57:01,44.08,44.14,44.06,43.78,41.48,39.61,38.53
48,TSLA,22:57:01,399.27,397.77,399.5,403.16,418.79,431.9,393.85
49,WMT,22:57:01,125.08,125.28,125.08,125.55,123.11,115.68,107.54
50,META,22:57:01,622.66,631.04,642.7,645.46,652.52,651.89,690.25
51,CAT,22:57:01,702.0,700.81,704.45,728.92,693.23,631.29,527.1
52,TSM,22:57:02,345.98,343.16,346.18,358.61,346.55,319.58,281.82
53,DLTH,22:57:02,2.16,2.19,2.21,2.23,2.3,2.55,2.59
54,HOOD,22:57:02,77.35,76.17,77.86,76.92,90.69,108.69,107.78
55,APP,22:57:03,459.09,456.37,477.0,447.6,493.33,564.16,514.58
56,EME,22:57:03,728.55,719.14,720.4,748.07,727.47,682.75,637.27
57,SATS,22:57:03,112.27,110.97,110.44,111.24,115.33,99.58,72.17
58,DASH,22:57:03,169.81,166.04,171.71,172.69,190.13,206.75,227.38
59,IREN,22:57:03,42.96,42.57,41.04,41.65,46.46,47.81,37.21
60,DUK,22:57:03,132.95,132.28,131.82,130.24,123.76,121.61,120.01
61,F,22:57:03,11.94,11.89,12.12,12.98,13.4,13.2,12.13
